Data;Índice Geral de Preços do Mercado - IGP-M(200045);Var 1 Ano;Var Mesmo Mês;Acc Dez
06/2015;582.401;0.67;5.59;4.33
07/2015;586.426;0.69;6.97;5.05
08/2015;588.042;0.28;7.55;5.34
09/2015;593.606;0.95;8.35;6.34
10/2015;604.832;1.89;10.09;8.35
11/2015;614.051;1.52;10.69;10
12/2015;617.044;0.49;10.54;10.54
01/2016;624.06;1.14;10.95;1.14
02/2016;632.114;1.29;12.08;2.44
03/2016;635.349;0.51;11.56;2.97
04/2016;637.434;0.33;10.63;3.3
05/2016;642.651;0.82;11.09;4.15
06/2016;653.496;1.69;12.21;5.91
07/2016;654.641;0.18;11.63;6.09
08/2016;655.602;0.15;11.49;6.25
09/2016;656.894;0.2;10.66;6.46
10/2016;657.927;0.16;8.78;6.63
11/2016;657.752;-0.03;7.12;6.6
12/2016;661.304;0.54;7.17;7.17
01/2017;665.542;0.64;6.65;0.64
02/2017;666.099;0.08;5.38;0.73
03/2017;666.197;0.01;4.86;0.74
04/2017;658.898;-1.1;3.37;-0.36
05/2017;652.758;-0.93;1.57;-1.29
06/2017;648.409;-0.67;-0.78;-1.95
07/2017;643.766;-0.72;-1.66;-2.65
08/2017;644.383;0.1;-1.71;-2.56
09/2017;647.4;0.47;-1.45;-2.1
10/2017;648.672;0.2;-1.41;-1.91
11/2017;652.073;0.52;-0.86;-1.4
12/2017;657.859;0.89;-0.52;-0.52
01/2018;662.826;0.76;-0.41;0.76
02/2018;663.311;0.07;-0.42;0.83
03/2018;667.524;0.64;0.2;1.47
04/2018;671.327;0.57;1.89;2.05
05/2018;680.579;1.38;4.26;3.45
06/2018;693.287;1.87;6.92;5.39
07/2018;696.8;0.51;8.24;5.92
08/2018;701.677;0.7;8.89;6.66
09/2018;712.373;1.52;10.04;8.29
10/2018;718.684;0.89;10.79;9.25
11/2018;715.166;-0.49;9.68;8.71
12/2018;707.441;-1.08;7.54;7.54
01/2019;707.488;0.01;6.74;0.01
02/2019;713.747;0.88;7.6;0.89
03/2019;722.707;1.26;8.27;2.16
04/2019;729.346;0.92;8.64;3.1
05/2019;732.595;0.45;7.64;3.56
06/2019;738.421;0.8;6.51;4.38
07/2019;741.346;0.4;6.39;4.79
08/2019;736.402;-0.67;4.95;4.09
09/2019;736.362;-0.01;3.37;4.09
10/2019;741.333;0.68;3.15;4.79
11/2019;743.558;0.3;3.97;5.11
12/2019;759.112;2.09;7.3;7.3
01/2020;762.733;0.48;7.81;0.48
02/2020;762.423;-0.04;6.82;0.44
03/2020;771.908;1.24;6.81;1.69
04/2020;778.101;0.8;6.68;2.5
05/2020;780.28;0.28;6.51;2.79
06/2020;792.429;1.56;7.31;4.39
07/2020;810.083;2.23;9.27;6.71
08/2020;832.313;2.74;13.02;9.64
09/2020;868.442;4.34;17.94;14.4
10/2020;896.505;3.23;20.93;18.1
11/2020;925.887;3.28;24.52;21.97
12/2020;934.758;0.96;23.14;23.14
01/2021;958.844;2.58;25.71;2.58
02/2021;983.063;2.53;28.94;5.17
03/2021;1011.948;2.94;31.1;8.26
